region,seniority_band,max_pages,photo,date_of_birth,nationality,marital_status,visa_status,section_order,education_before_experience,format,language_expectation,source,evidence_class
US,early,1,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact|summary|education|experience|skills,true,reverse-chronological,English,"report 03 §A — CONVENTION grounded in FACT: US EEOC anti-discrimination law creates employer liability incentive to avoid receiving protected-class info (age/marital status/photo-inferred traits) pre-interview",CONVENTION
US,mid,1,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact|summary|experience|education|skills|certifications,false,reverse-chronological,English,"report 03 §A — same EEOC-driven rationale as early band",CONVENTION
US,senior,2,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact|summary|experience|education|skills|certifications,false,reverse-chronological,English,"report 03 §A — 2pp permitted at 10+ years experience; same EEOC-driven omission rationale",CONVENTION
US,executive,2,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact|summary|experience|education|skills|certifications,false,reverse-chronological,English,"report 03 §A — no sourced basis for a 3rd page tier beyond senior; same EEOC-driven omission rationale",CONVENTION
UK,early,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact|summary|education|experience|skills,true,reverse-chronological,English,"report 03 §A — '2 pages standard regardless of seniority'; Equality Act 2010 discourages employers from requesting photo/DOB pre-interview, same mechanism as US but not explicitly cited by report 03 (extended)",CONVENTION
UK,mid,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact|summary|experience|education|skills,false,reverse-chronological,English,"report 03 §A — length invariant across seniority per report 03's explicit statement",CONVENTION
UK,senior,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact|summary|experience|education|skills,false,reverse-chronological,English,"report 03 §A",CONVENTION
UK,executive,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact|summary|experience|education|skills,false,reverse-chronological,English,"report 03 §A — no sourced basis for a longer executive tier in the UK",CONVENTION
EU-generic,early,2,customary,customary,customary,contested,customary,contact|summary|education|experience|skills|languages,true,reverse-chronological,"local language of target country; English for multinational/international roles",general convention (continental Europe outside the specific Europass/DACH/France cases below; not explicitly detailed in report 03 — weakest-sourced row in this file),CONVENTION
EU-generic,mid,2,customary,customary,customary,contested,customary,contact|summary|experience|education|skills|languages,false,reverse-chronological,"local language of target country; English for multinational/international roles",general convention (extended beyond report 03),CONVENTION
EU-generic,senior,2,customary,customary,customary,contested,customary,contact|summary|experience|education|skills|languages,false,reverse-chronological,"local language of target country; English for multinational/international roles",general convention (extended beyond report 03),CONVENTION
EU-generic,executive,2,customary,customary,customary,contested,customary,contact|summary|experience|education|skills|languages,false,reverse-chronological,"local language of target country; English for multinational/international roles",general convention (extended beyond report 03),CONVENTION
EU-Europass,early,2,contested,contested,customary,contested,customary,contact|education|experience|languages|skills,true,reverse-chronological,"varies; Europass tool generates multi-language versions",report 03 §A — 'photo inclusion varies by country'; DOB/marital-status contested because the Europass template itself has been revised toward fewer personal-data fields and current-version specifics were not verified,CONVENTION
EU-Europass,mid,3,contested,contested,customary,contested,customary,contact|experience|education|languages|skills,false,reverse-chronological,"varies; Europass tool generates multi-language versions","report 03 §A — '2-3 pages, follows the structured Europass template sections'",CONVENTION
EU-Europass,senior,3,contested,contested,customary,contested,customary,contact|experience|education|languages|skills,false,reverse-chronological,"varies; Europass tool generates multi-language versions",report 03 §A,CONVENTION
EU-Europass,executive,3,contested,contested,customary,contested,customary,contact|experience|education|languages|skills,false,reverse-chronological,"varies; Europass tool generates multi-language versions",report 03 §A — no sourced basis for a longer executive tier,CONVENTION
DACH,early,2,customary,customary,customary,contested,customary,contact|education|experience|skills,true,reverse-chronological,"German (Austria/Germany); German/French/Italian region-dependent for Switzerland",general convention (Lebenslauf norms; not covered by report 03 beyond the Germany/Austria photo mention under Europass — extended),CONVENTION
DACH,mid,2,customary,customary,customary,contested,customary,contact|experience|education|skills,false,reverse-chronological,"German (Austria/Germany); German/French/Italian region-dependent for Switzerland","general convention (extended). CONFLICT FLAG: the traditional 'tabellarischer Lebenslauf' is a two-column table layout, which directly conflicts with this file's own ATS no-table/no-column rule (report 03 §A, also see research/16 constraint ats-no-multi-column). Resolver should default to ATS-safe single-column structure with DACH-appropriate field content/order, not the traditional visual table, for any doctype where ATS parsing matters.",CONVENTION
DACH,senior,2,customary,customary,customary,contested,customary,contact|experience|education|skills,false,reverse-chronological,"German (Austria/Germany); German/French/Italian region-dependent for Switzerland",general convention (extended) — same table-layout conflict flag as mid band,CONVENTION
DACH,executive,2,customary,customary,customary,contested,customary,contact|experience|education|skills,false,reverse-chronological,"German (Austria/Germany); German/French/Italian region-dependent for Switzerland",general convention (extended) — no sourced basis for a longer executive tier; same table-layout conflict flag,CONVENTION
France,early,1,contested,contested,contested,contested,customary,contact|summary|education|experience|skills,true,reverse-chronological,"French (English acceptable for international/multinational roles)","report 03 §A — 'decreasingly common' photo inclusion named explicitly; DOB/nationality/marital-status contested for the same anti-discrimination-sensitivity reason (France has run 'CV anonyme' anti-discrimination pilots/legislation), not explicitly detailed in report 03 (extended)",CONVENTION
France,mid,1,contested,contested,contested,contested,customary,contact|summary|experience|education|skills,false,reverse-chronological,"French (English acceptable for international/multinational roles)",report 03 §A + extended — 1 page strongly preferred ('CV à la française' brevity convention),CONVENTION
France,senior,2,contested,contested,contested,contested,customary,contact|summary|experience|education|skills,false,reverse-chronological,"French (English acceptable for international/multinational roles)",report 03 §A + extended — 2pp acceptable at senior level,CONVENTION
France,executive,2,contested,contested,contested,contested,customary,contact|summary|experience|education|skills,false,reverse-chronological,"French (English acceptable for international/multinational roles)",report 03 §A + extended — no sourced basis for a longer executive tier,CONVENTION
Gulf-GCC,early,2,customary,customary,customary,customary,customary,contact|summary|education|experience|skills,true,reverse-chronological,"English standard for multinational/private-sector roles; Arabic for government/local-market roles","report 03 §A — Gulf inclusion norm 'directly contradicts US/UK practice'; nationality/visa-status relevance is a documented labor-market reality (nationality-based hiring-quota systems, e.g. Emiratisation/Saudization-style policy, and sponsorship-linked visa status), not merely stylistic preference",CONVENTION
Gulf-GCC,mid,2,customary,customary,customary,customary,customary,contact|summary|experience|education|skills,false,reverse-chronological,"English standard for multinational/private-sector roles; Arabic for government/local-market roles",report 03 §A — same Gulf inclusion-norm rationale as early band,CONVENTION
Gulf-GCC,senior,2,customary,customary,customary,customary,customary,contact|summary|experience|education|skills,false,reverse-chronological,"English standard for multinational/private-sector roles; Arabic for government/local-market roles",report 03 §A,CONVENTION
Gulf-GCC,executive,2,customary,customary,customary,customary,customary,contact|summary|experience|education|skills,false,reverse-chronological,"English standard for multinational/private-sector roles; Arabic for government/local-market roles",report 03 §A — no sourced basis for a longer executive tier,CONVENTION
