prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
designs:proposal-serif-centered:1,designs,proposal-serif-centered,ranked,GH(proposal template latex) stars-desc search,https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.425 (17/40),2026-09-24,fetched
designs:proposal-sans-centered:1,designs,proposal-sans-centered,ranked,GH(proposal template latex) stars-desc search,https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.225 (9/40),2026-09-24,fetched
designs:proposal-sans-plain-left:1,designs,proposal-sans-plain-left,ranked,GH(proposal template latex) stars-desc search,https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.125 (5/40),2026-09-24,fetched
designs:proposal-serif-ruled:1,designs,proposal-serif-ruled,ranked,GH(proposal template latex) stars-desc search,https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.075 (3/40),2026-09-24,fetched
designs:proposal-sans-accent-centered:1,designs,proposal-sans-accent-centered,ranked,GH(proposal template latex) stars-desc search,https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.050 (2/40),2026-09-24,fetched
designs:proposal-narrative:1,designs,proposal-narrative,convention,,,,,2026-09-24,
doc-styles:proposal-ruled:1,doc-styles,proposal-ruled,ranked,"GH proposal corpus, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
doc-reasoning:proposal-serif-centered:1,doc-reasoning,proposal-serif-centered,ranked,"GH proposal corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
doc-reasoning:proposal-sans-centered:1,doc-reasoning,proposal-sans-centered,ranked,"GH proposal corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
doc-reasoning:proposal-sans-plain-left:1,doc-reasoning,proposal-sans-plain-left,ranked,"GH proposal corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
doc-reasoning:proposal-serif-ruled:1,doc-reasoning,proposal-serif-ruled,ranked,"GH proposal corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
doc-reasoning:proposal-sans-accent-centered:1,doc-reasoning,proposal-sans-accent-centered,ranked,"GH proposal corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=proposal+template+latex&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-24,fetched
