doc_category,Style Key,Palette Key,Typeface Key,Style Bias Terms,Palette Bias Terms,Typeface Bias Terms,Doc Conditions,Anti-Pattern Tokens,Severity,Design Key
cv-ats-strict,cv-restrained,mono-ink,safe-sans-arial,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-ats-strict
cv-academic,cv-academic-plain,mono-ink,safe-serif-times,"long-form, no page limit, publication list structure, restrained","monochrome, ink on white","safe serif stack, tabular figures preferred for citation/reference numbering",,multi-column;icon-only-skill-bar;photo;color-coded-sections;emoji,warn,cv-academic
cover-letter-professional,letter-restrained,mono-ink,safe-sans-arial,"single column, restrained, formal salutation block","monochrome, ink on white","safe stack, ubiquitous",if_ats_target=constraint:ats-strict,multi-column;text-box;photo;icon-only-skill-bar;emoji,fail,cover-letter-professional
letter-formal,letter-formal-grid,mono-ink,safe-serif-times,"formal correspondence layout, single column, letterhead block","monochrome, ink on white",safe serif stack,,multi-column;text-box;gradient;emoji,warn,letter-formal
memo-internal,memo-plain,mono-ink,safe-sans-arial,"single column, header block, restrained","monochrome, ink on white","safe stack, ubiquitous",,multi-column;text-box;gradient;emoji,warn,memo-internal
form-handfilled,form-grid-underline,mono-ink,ofl-public-sans,"grid, underline fields, hairline rules, no fills, photocopy-safe","monochrome, ink on white, section numbers black","safe functional sans, tabular figures for codes",if_hand_filled=constraint:field-legibility-min;if_photocopied=constraint:photocopy-safe-color,gradient;emoji;color-coded-field-meaning;rounded-card,warn,form-handfilled
print-marketing,marketing-print-bold,brand-accent-print,ofl-source-sans-serif,"bold hierarchy, generous white space, fold-aware layout","brand accent, high contrast for print","versatile sans, print-safe",if_professional_print=constraint:professional-print,low-contrast-text;gradient-banding;stock-photo-cliche;emoji,fail,
report-classic,report-classic-serif,print-neutral,safe-serif-times,"long-form, serif body, running heads, hairline table rules","neutral ink, restrained accent","safe serif stack, tabular figures for financial tables",,multi-column;text-box;icon-only-skill-bar;emoji,warn,report-classic
whitepaper-formal,report-classic-serif,print-neutral,ofl-plex-superfamily,"long-form, citations, bibliography, formal","neutral ink, restrained accent","superfamily contrast for headings vs body, tabular figures",,multi-column;icon-only-skill-bar;gradient;emoji,warn,whitepaper-formal
proposal-narrative,report-classic-serif,print-neutral,safe-serif-times,"narrative structure, formal, persuasive but restrained","neutral ink, restrained accent",safe serif stack,,multi-column;gradient;stock-photo-cliche;emoji,warn,proposal-narrative
quote-devis,form-grid-underline,print-neutral,ofl-public-sans,"tabular, line-item grid, restrained",neutral ink,tabular figures required for price columns,,gradient;emoji;color-coded-line-items;boxed-grid,warn,quote-devis
deck-generic,deck-bold-minimal,deck-high-contrast,safe-sans-deck,"one idea per slide, 6x6 heuristic, high contrast, legible in projection, on-screen, or as a printed handout","near-maximum contrast pairs, no mid-gray-on-dark under projector washout","large functional sans, screen/projector/print legible",,gradient;dense-paragraph-slide;spaghetti-chart;low-contrast-text;photo-heavy;emoji,warn,deck-generic
one-pager-restrained,one-pager-tight,print-neutral,safe-sans-arial,"single page, restrained, high information density without clutter","neutral ink, one accent maximum",safe sans stack,,multi-column;gradient;icon-only-skill-bar;emoji,warn,one-pager-restrained
infographic-scaffold,infographic-bold,brand-accent-print,safe-sans-infographic,"data visual, statistics graphic, visual summary","brand accent, high contrast, single accent reserved for stat callouts and category colour","safe stack, ubiquitous, no embedding, oversized stat-callout role sized for screen/thumbnail legibility",,gradient;3d-chart;emoji,warn,infographic-scaffold
invoice-tabular,form-grid-underline,print-neutral,ofl-public-sans,"tabular, line-item grid, header-and-total table rules",neutral ink,tabular figures required,,gradient;emoji;color-coded-totals;boxed-grid,warn,invoice-tabular
cv-us-uk-designed,cv-harvard,cv-harvard,source-serif-sans,"restrained, single column, typographic hierarchy by size and weight, generous whitespace","near-black ink, one restrained accent for the name/header rule only, no default web-blue","serif heading + sans body, publisher-documented companion pair, embeddable with OS fallback",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-us-uk-designed
cv-dach-tabular,cv-dach-tabular,cv-dach-formal,pt-serif-sans,"two-column tabular layout, label/content columns, formal headshot top-right, consistent row padding not cell borders","near-black ink and rule lines, no accent colour, formality by structure not hue","serif label + sans body, first-party Typewolf pairing recommendation, full umlaut/diacritic coverage",,gradient;emoji;color-coded-field-meaning;rounded-card;boxed-grid,warn,cv-dach-tabular
cv-eu-europass,cv-europass,cv-europass,ibm-plex-sans,"single column, Europass section order, language-proficiency grid, restrained accent underscores only","restrained blue accent for section-label underscores only, never a full-block fill","single multilingual family, weight-differentiated, avoids a second family risking accented-glyph mismatch",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;graphic-timeline;emoji;default-blue-everywhere,fail,cv-eu-europass
cv-editorial,cv-editorial,cv-editorial,fraunces-work-sans,"expressive display serif headline, single accent restricted to headline size, one page, no decorative slop","near-black text, one Carbon Blue 60 accent restricted to headline/rule size only, not small print","high-contrast editorial display serif heading + neutral grotesque body, live creative-portfolio pairing pattern",,gradient;icon-only-skill-bar;stock-photo-cliche;multi-column;emoji,warn,
cv-serif-plain-centered,cv-serif-plain-centered,lib-carbon-mono,safe-serif-times,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-serif-plain-centered
cv-sans-accent-ruled,cv-europass,lib-atlassian-ink,lib-roboto,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-sans-accent-ruled
cv-sans-mono-split,cv-sans-mono-split,lib-carbon-mono,lib-roboto,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;graphic-timeline;emoji,fail,cv-sans-mono-split
cv-serif-accent-plain-left,cv-restrained,lib-atlassian-ink,safe-serif-times,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-serif-accent-plain-left
cv-sans-accent-plain-centered,cv-sans-accent-plain-centered,lib-atlassian-ink,lib-roboto,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-sans-accent-plain-centered
cv-serif-mono-split,cv-sans-accent-plain-centered,lib-carbon-mono,safe-serif-times,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;photo;graphic-timeline;emoji,fail,cv-serif-mono-split
cv-sans-accent-split,cv-sans-mono-split,lib-atlassian-ink,lib-roboto,"restrained, single column, no color blocks, ats-safe structure","monochrome, ink on white, no color-coded meaning","safe stack, ubiquitous, no embedding required",if_ats_target=constraint:ats-strict,multi-column;text-box;icon-only-skill-bar;graphic-timeline;emoji,fail,cv-sans-accent-split
proposal-serif-centered,proposal-plain-centered,lib-carbon-mono,safe-serif-times,"narrative structure, formal, persuasive but restrained","neutral ink, restrained accent",safe serif stack,,multi-column;gradient;stock-photo-cliche;emoji,warn,proposal-serif-centered
