chart_key,Data Type,Keywords,Best Chart Type,Secondary Options,When to Use,When NOT to Use,Data Volume Threshold,Accessibility Grade,A11y Fallback,Accessibility Notes,Label Strategy,Static Fallback,Print Series Max,Greyscale Safe,Print Palette Roles,Caption Required,Caption Must State,Anti-Patterns
comparison-few-categories,"categorical, few groups (2-7)","bar chart, comparison, categories, magnitude, ranking few",Bar chart (horizontal or vertical),Dot plot,Comparing a single measure across a small number of named categories where magnitude/ranking matters,Not for parts of one whole (use part-to-whole); not once category count exceeds ~7-8 (use comparison-many),"Comfortably readable up to ~7-8 categories in a print-width figure; beyond that, category-label collision on the axis becomes the limiting factor before perceptual accuracy does",high,table of the same values,"distinguish by pattern-fill or direct value labels, not hue alone, for greyscale/colorblind safety",direct,value label at each bar end,3,yes,primary;secondary;muted,yes,,"3D bars (Tufte: adds a perspective-distorted third dimension that misrepresents the actual 2D magnitude, pure chartjunk); rainbow/spectral palette across categories with no ordinal meaning (implies a false ranking, Few)"
comparison-many,"categorical, many groups (8-40)","ranked bar, sorted bar, many categories, leaderboard",Sorted horizontal bar chart,Dot plot; small multiples if also faceted by a second variable,"Many named categories where the reader needs rank/magnitude at a glance, not just a couple values","Beyond roughly 30-40 categories in one static figure, print label legibility breaks down before the chart form itself does -- use a sorted table or a top-N-plus-other truncation","Ceiling is category-label legibility at a legible print point size within the figure's available height, not perceptual accuracy",high,full sorted data table,sort order is itself an accessibility aid -- rank order lets position carry the message instead of forcing the reader to scan for magnitude,either,value labels at bar ends where space allows; omit and let gridlines carry precision when categories are dense,1,yes,primary,yes,,"unsorted (alphabetical) ordering when the message is about rank (forces the reader to perform the sort the chart should have done); pie chart at this category count (Cleveland & McGill's angle/area accuracy degrades further as slice count rises, and >8 slices is unreadable at any accuracy)"
part-to-whole,parts summing to one meaningful total,"pie, donut, stacked bar, proportion, share, percentage","Stacked bar (single bar, segmented) or 100% stacked bar","Pie chart, only if <=5 slices and a single snapshot (no cross-total comparison); treemap for hierarchical parts with many categories",Reader needs to see how one total divides into a small number of named shares,Never pie beyond ~5 slices; never pie to compare shares across multiple totals/time periods (angle-to-angle comparison across separate pies is a task humans are measurably bad at -- use 100% stacked bars or a slope chart),<=5-6 parts before switching to stacked bar or a plain table,medium,table of parts and percentages,label each segment/slice directly with name and value -- never rely on a separate legend requiring colour-matching across the page,direct,each part labelled with name + value/percentage on or beside the segment,4,needs-pattern,primary;secondary;muted,yes,,"pie chart beyond 5-6 slices (angle/area is the least accurate perceptual judgment per Cleveland & McGill 1984, error compounds with slice count); 3D pie (adds perspective distortion on top of an already-weak angle judgment -- the front slice reads larger than an equal-area back slice, documented chartjunk, Tufte); comparing two or more pies to show change over time"
change-over-time-few-series,"time series, few series (2-4)","line chart, trend, trajectory, time series few",Line chart,"Area chart, single series only (cumulative/volume) -- not stacked multi-series, which reintroduces part-to-whole's accuracy problem for the upper bands",Showing a trend/trajectory over a continuous time axis for a small number of named series,Not for <=2 discrete time points -- a line implies continuous interpolation between points that don't exist; use a bar or slope chart for a simple before/after instead,"<=3-4 lines before individual lines become hard to trace by eye in print -- lower than report 03's 5-7 spaghetti-chart ceiling on purpose, because print has no hover-to-isolate a line",high,data table of key time points,"differentiate lines by colour AND line style/dash, never colour alone, so greyscale photocopies stay distinguishable",direct,each line labelled with its series name at its terminal point,4,needs-pattern,primary;secondary;accent;muted,yes,,"dual y-axes (Few: pairing two independently-scaled series on a shared x-axis implies a visual correlation between their slopes that is an artifact of arbitrary axis scaling, not a real relationship -- one of the most-cited misleading-chart patterns); smoothing/trend curves without showing the underlying data points (hides real variance, a Tufte data-integrity concern)"
change-over-time-many,"time series, many series (5+)","small multiples, spaghetti chart, many series over time","Small multiples (one mini-chart per series, shared axis scale)",Sorted line highlighting only the top N with the rest greyed as context; heatmap/strip chart if series count is very high and only relative pattern matters,"Many series need to be shown and the point is comparing shape/pattern across them, not reading exact values off one crowded chart","Never as a single overlaid multi-line chart beyond report 03's 5-7 spaghetti threshold -- the fix is small multiples, not a bigger legend",">4-5 series triggers this form instead of the few-series line chart; small multiples scale to dozens of panels as long as each panel stays legible at its allotted size -- a page-layout constraint from T7, not a perceptual one",high,"data table, or a ranked summary table of top/bottom N series by one summary statistic","consistent y-axis scale across all panels is what makes shape genuinely comparable -- variable per-panel scales silently misrepresent relative magnitude, Tufte's lie-factor concern applied to small multiples",direct,"n/a -- small multiples are inherently the static-safe form; each panel titled with its series name, no shared legend needed","n/a -- bounded by page layout (T7), not a perceptual limit",yes,primary,yes,,"single overlaid chart with >5-7 lines (report 03 Section B's spaghetti-chart threshold -- worse in print than on screen, since there is no hover-to-isolate a line); inconsistent y-axis scale across small-multiple panels (defeats the entire purpose of the form -- shape comparisons become meaningless, Tufte)"
distribution,"one or few continuous variables, shape/spread matters","histogram, box plot, distribution, spread, outliers",Histogram (single variable) or box plot (comparing distribution across a few groups),Dot/strip plot for small n; violin plot only for a statistically literate audience,"The message is about spread/shape/outliers within a variable, not a single summary number","Don't present binned bar counts as a histogram without stating bin width -- bin width materially changes the shape shown, and an undisclosed choice misrepresents the data","Box plots compare cleanly across <=8-10 groups in print before group labels no longer fit legibly; beyond that, small multiples of histograms",medium,"summary statistics table (mean, median, quartiles, min/max)","always state the bin width on a histogram directly in the caption -- a data-integrity disclosure, not decoration",direct,n/a -- static-native form; box-plot groups labelled below each box,8,yes,primary,yes,must state bin width for histograms specifically,"unlabeled bin width on a histogram (the most common way a distribution chart silently misrepresents its data -- the same dataset can look unimodal or bimodal purely from bin-width choice, Tufte); violin plot for a general/non-technical audience without explanation (asks the reader to decode a compound density shape most readers were never taught -- a box plot conveys the same core information at lower chart-literacy cost)"
correlation,"two continuous variables, relationship between them","scatter plot, correlation, relationship, trend line",Scatter plot,"Connected scatter, only if a third ordering variable like time matters too; scatter matrix for more than 2 variables",Showing whether/how two continuous measures relate,"Don't imply causation the data doesn't support -- state 'correlation, not causation' in the caption where readers are likely to over-infer",Print-legible up to a few hundred points before overplotting hides individual points; beyond that use a density/hexbin form or a summary trend line with a stated sample size,medium,"correlation coefficient stated in the caption/text, plus the underlying data table if small enough","if overplotting exists in the source data, disclose it -- don't quietly thin the data without saying so",either,n/a -- static-native form,3,needs-pattern,primary;secondary;accent,yes,"should state sample size (n) and, where relevant, the correlation coefficient","trend line shown without the underlying scatter points (hides the actual data density/outliers the reader needs to judge how much to trust the line, Tufte); implying causation in the caption/surrounding text for a chart form that can only show correlation"
ranking,"ordered categorical, rank/order itself is the message","ranking, leaderboard, slope chart, bump chart, rank change",Sorted horizontal bar chart,"Slope chart / bump chart, specifically when rank change over two or more time points is the message","The reader's task is 'who is first, who is last, who moved' rather than 'what is the exact value'","Don't use a slope/bump chart beyond ~8-10 ranked items -- crossing lines become illegible at that density, the same crowding mechanism as change-over-time-many","Sorted bar ranks up to ~20-30 items in print with a top/bottom-N-plus-truncation note; slope charts cap lower, ~8-10, per above",high,numbered ranked list/table,"print explicit rank numbers (1, 2, 3...) next to each item -- removes any ambiguity sorted position alone might leave, especially in greyscale",direct,"explicit rank number as a direct label, not position alone",10,needs-pattern,primary;secondary;accent;muted,yes,,"unsorted bars when rank is the stated message (forces the reader to perform the sort the chart should have done); rainbow palette across ranked items with no other categorical meaning (implies a second dimension of meaning the colour doesn't actually carry, Few)"
geographic,values tied to named geographic regions,"map, choropleth, region, geographic",Choropleth map (single measure across defined regions),Proportional symbol map when regions vary hugely in area; a sorted bar chart of the same regions is very often the better print choice,"Only when the geographic pattern itself (clustering, regional spread) is the message, not merely because the data has a region column","Don't default to a map just because the data has a region label -- if the task is 'which region is highest,' a sorted bar answers it more accurately and more compactly (choropleth relies on area/colour-value judgment, one of Cleveland & McGill's weakest perceptual tasks; a bar's length is one of the strongest)",Legibility caps at the point where individual regions can no longer be resolved at the page's print size/DPI -- small/dense regions (e.g. small European countries at page-width scale) often fall below that floor and need an inset,low-medium,sorted table of region + value,"never rely on a colour ramp alone -- direct-label the highest/lowest few regions with their value, and always ship the underlying table for readers who cannot resolve a colour-value legend",either,n/a -- static-native form; the data table alongside it is the real fallback for readers who cannot parse the ramp,1,no,primary,yes,,"multi-hue rainbow ramp for a sequential (low-to-high) value scale (implies false categorical breaks in a continuous scale, and is the least colourblind-safe/greyscale-safe encoding in this table -- a single-hue lightness ramp reads correctly in every reproduction condition a multi-hue ramp fails); 3D relief/extrusion map styling (a fake third dimension on top of the weakest perceptual task in the table, compounding area/colour judgment with occlusion)"
flow-process,"sequential steps, transitions, or quantity flowing between named stages","flowchart, process diagram, sankey, sequence, workflow",Flow diagram / process flowchart (steps + arrows),"Sankey diagram specifically when flow quantity between stages is the message; plain numbered list with connecting arrows for a strictly linear, non-branching process","Reader needs to understand order/sequence/branching logic, or (Sankey) proportional flow quantities between stages",Don't use a Sankey beyond ~5-6 stages/nodes -- crossing flow-bands become as unreadable as an overplotted line chart; don't use a flowchart's branching vocabulary for a strictly linear list with no decisions,"Flowcharts stay legible up to ~10-15 steps/nodes on a print page before needing a fold-out or multi-page spread; Sankeys cap much lower, ~5-6 stages",medium,"numbered/ordered text list of steps, or a from-to table of flow quantities for a Sankey","arrows must be unambiguous even with colour stripped (photocopy) -- use arrowheads and directional layout (top-to-bottom or left-to-right), never colour alone for direction",direct,"n/a -- static-native form; every step/node labelled in place, no legend needed for a well-drawn flowchart","n/a -- ceiling is stage/node count (see Data Volume Threshold), not a series count",needs-pattern,primary;secondary;muted,yes,,"more than ~5-6 nodes in a Sankey diagram (crossing flow-bands become as unreadable as an overplotted line chart -- the same crowding mechanism as report 03's spaghetti-chart threshold, applied to area instead of line); decorative 3D/bevelled flowchart boxes (Tufte chartjunk -- adds visual weight with zero information content, competing with the arrows and labels that actually carry the message)"
tabular-lookup,"precise individual values the reader needs to reference, not a pattern to perceive at a glance","table, lookup, reference, exact values, pricing sheet",Table (no chart -- this row's point is that the right answer is explicitly 'no chart'),n/a,"Report 03 Section B's own rule, restated as this row's defining criterion: use a table when the audience needs to read/reference exact individual values (e.g. a pricing sheet)","Don't use a table when the reader's actual task is comparing magnitude or spotting a trend -- that's the flip side of the same report 03 rule, and a bar or line chart serves it better","n/a -- tables scale with page length/multi-page spreads, governed by report 03 Section D's own table-design rules, not a row/column ceiling",high,n/a -- a table IS the fallback form for every other row in this file,"report 03 Section D's table rules apply directly: tabular (fixed-width) figures for numeric columns, right-align numbers/left-align text, minimal vertical rules, sparse horizontal rules (header + total only); grade rationale: a table is the ground-truth data, no perceptual-encoding step to fail at",direct,n/a,n/a,yes,"n/a -- zebra striping is a screen-allowed, print-discouraged pattern per report 03/research 06; this row's point is that no chart palette applies",yes,"and captioned ABOVE the table, not below, per report 03 Section D and T10's Caption Position convention","forcing a chart where a table was the right answer, specifically to look more 'designed' -- Few's core argument and the single most common chart-selection mistake in business documents: a bar chart of 4 numbers a reader needed to look up precisely is strictly worse than just printing the 4 numbers"
