palette_key,Display Name,Keywords,Brand Scope,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Muted,On Muted,Rule Hair,Rule Strong,Rule Brand,Text-Safe Roles,Fill-Only Roles,Category Marker Roles
mono-ink,Monochrome ink,"monochrome, black on white, cv, ats, neutral",generic,#1A1A1A,#FFFFFF,#4A4A4A,#FFFFFF,,,#FFFFFF,#111111,#F2F2F2,#555555,#CCCCCC,#111111,#111111,foreground;primary;secondary,muted,
brand-accent-print,"Print, brand accent","brand accent, bold, high contrast, brochure, poster, marketing print, cta",generic,#1A1A1A,#FFFFFF,#4A4A4A,#FFFFFF,#C81E3A,#FFFFFF,#FFFFFF,#1A1A1A,#F2F2F2,#555555,#CCCCCC,#1A1A1A,#C81E3A,foreground;primary;secondary,muted;accent,accent
print-neutral,"Print, neutral","neutral ink, restrained accent, report, whitepaper, invoice, quote, one-pager",generic,#22282E,#FFFFFF,#55606B,#FFFFFF,#2E5C82,#FFFFFF,#FFFFFF,#1A1E22,#EEF0F2,#55606B,#CED3D8,#1A1E22,#2E5C82,foreground;primary;secondary;accent,muted,
deck-high-contrast,"Slide deck, high contrast","slide deck, presentation, projection, high contrast, dark theme, no mid-gray",generic,#FFFFFF,#121212,#D9D9D9,#121212,#FFD400,#121212,#0F0F0F,#FFFFFF,#2A2A2A,#D9D9D9,#3A3A3A,#FFFFFF,,foreground;primary;secondary;accent,muted,accent
cv-harvard,"CV, Harvard","cv, harvard, us, uk, mono-ink-plus-accent, restrained",generic,#1b1b1b,#FFFFFF,#1b1b1b,#FFFFFF,#005ea2,#FFFFFF,#FFFFFF,#1b1b1b,#F2F2F2,#555555,#CCCCCC,#1b1b1b,#005ea2,foreground;primary;secondary;accent,muted,
cv-dach-formal,"CV, DACH formal","cv, dach, lebenslauf, tabellarisch, mono-ink, no-accent",generic,#0b0c0c,#FFFFFF,#484949,#FFFFFF,,,#FFFFFF,#0b0c0c,#F2F2F2,#555555,#484949,#0b0c0c,,foreground;primary;secondary,muted,
cv-europass,"CV, Europass","cv, europass, eu, multilingual, restrained-blue-accent",generic,#0b0c0c,#FFFFFF,#0b0c0c,#FFFFFF,#1a65a6,#FFFFFF,#FFFFFF,#0b0c0c,#F2F2F2,#555555,#CCCCCC,#0b0c0c,#1a65a6,foreground;primary;secondary;accent,muted,
cv-editorial,"CV, editorial","cv, editorial, creative, design, carbon, headline-only-accent",generic,#161616,#FFFFFF,#161616,#FFFFFF,#0f62fe,#FFFFFF,#FFFFFF,#161616,#F2F2F2,#555555,#CCCCCC,#161616,#0f62fe,foreground;primary;secondary,muted;accent,
lib-govuk-ink,"GOV.UK, ink & blue","government, trustworthy, public sector, civic, navy, ink",generic,#0b0c0c,#ffffff,#484949,#ffffff,#1d70b8,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#1d70b8,foreground;primary;secondary;accent,muted,
lib-uswds-navy,"USWDS, navy ink","government, federal, trustworthy, navy, official",generic,#1b1b1b,#ffffff,#565c65,#ffffff,#005ea2,#ffffff,#ffffff,#1b1b1b,#dfe1e2,#1b1b1b,#a9aeb1,#1b1b1b,#005ea2,foreground;primary;secondary;accent,muted,
lib-atlassian-ink,"Atlassian, neutral ink","tech, saas, product, navy, enterprise software",generic,#292A2E,#FFFFFF,#505258,#FFFFFF,#1868DB,#FFFFFF,#FFFFFF,#292A2E,#F0F1F2,#505258,#8C8F97,#292A2E,#1868DB,foreground;primary;secondary;accent,muted,
lib-carbon-mono,"IBM Carbon, monochrome","monochrome, tech, enterprise, neutral, black on white",generic,#161616,#ffffff,#525252,#ffffff,,,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#161616,foreground;primary;secondary,muted,
lib-govuk-forest,"GOV.UK, forest green","government, environment, sustainability, forest, green",generic,#0b0c0c,#ffffff,#484949,#ffffff,#0f7a52,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#0f7a52,foreground;primary;secondary;accent,muted,
lib-carbon-forest,"IBM Carbon, forest green","tech, sustainability, environment, forest, green, enterprise",generic,#161616,#ffffff,#525252,#ffffff,#198038,#ffffff,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#198038,foreground;primary;secondary;accent,muted,
lib-govuk-burgundy,"GOV.UK, burgundy red","government, legal, finance, burgundy, red, formal",generic,#0b0c0c,#ffffff,#484949,#ffffff,#ca3535,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#ca3535,foreground;primary;secondary;accent,muted,
lib-radix-burgundy,"Radix Colors, burgundy","burgundy, red, bold, creative, tech, warm",generic,#641723,#ffffff,#ce2c31,#ffffff,,,#fffcfc,#641723,#feebec,#641723,#fdbdbe,#641723,#641723,foreground;primary;secondary,muted,
lib-fluent-burgundy,"Fluent 2, burgundy","burgundy, red, enterprise, tech, bold, formal",generic,#242424,#ffffff,#333333,#ffffff,#a4262c,#ffffff,#ffffff,#242424,#f0f0f0,#242424,#ebebeb,#242424,#a4262c,foreground;primary;secondary;accent,muted,
lib-carbon-teal,"IBM Carbon, teal","teal, healthcare, tech, calm, trust",generic,#161616,#ffffff,#525252,#ffffff,#007d79,#ffffff,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#007d79,foreground;primary;secondary;accent,muted,
lib-govuk-teal,"GOV.UK, teal","government, teal, public sector, calm",generic,#0b0c0c,#ffffff,#484949,#ffffff,#158187,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#158187,foreground;primary;secondary;accent,muted,
lib-tailwind-sand,"Tailwind, warm sand","warm neutral, sand, creative, nonprofit, editorial",generic,#1c1917,#ffffff,#44403c,#ffffff,#b45309,#ffffff,#fafaf9,#1c1917,#e7e5e4,#1c1917,#d6d3d1,#1c1917,#b45309,foreground;primary;secondary;accent,muted,
lib-radix-sand,"Radix Colors, warm sand","warm neutral, sand, editorial, creative, calm",generic,#21201c,#ffffff,#63635e,#ffffff,#7d5e54,#ffffff,#fdfdfc,#21201c,#f1f0ef,#21201c,#dad9d6,#21201c,#7d5e54,foreground;primary;secondary;accent,muted,
lib-material3-purple,"Material 3, baseline purple","purple, creative, tech, modern, playful",generic,#1d1b20,#ffffff,#49454F,#ffffff,#6750A4,#ffffff,#fef7ff,#1d1b20,#E7E0EC,#1d1b20,#CAC4D0,#1d1b20,#6750A4,foreground;primary;secondary;accent,muted,
lib-carbon-purple,"IBM Carbon, purple","purple, tech, creative, enterprise, digital",generic,#161616,#ffffff,#525252,#ffffff,#8a3ffc,#ffffff,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#8a3ffc,foreground;primary;secondary;accent,muted,
lib-fluent-grape,"Fluent 2, grape","purple, creative, enterprise, tech, bold",generic,#242424,#ffffff,#333333,#ffffff,#881798,#ffffff,#ffffff,#242424,#f0f0f0,#242424,#ebebeb,#242424,#881798,foreground;primary;secondary;accent,muted,
lib-govuk-orange-brown,"GOV.UK, warm brown","government, warm, nonprofit, brown, earthy, civic",generic,#0b0c0c,#ffffff,#484949,#ffffff,#99704a,#000000,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#99704a,foreground;primary;secondary,muted;accent,
lib-uswds-orange,"USWDS, warm orange","government, federal, warm, orange, brown, energetic",generic,#1b1b1b,#ffffff,#565c65,#ffffff,#c05600,#ffffff,#ffffff,#1b1b1b,#dfe1e2,#1b1b1b,#a9aeb1,#1b1b1b,#c05600,foreground;primary;secondary;accent,muted,
lib-carbon-dark-slide,"IBM Carbon, dark slide","dark, slide deck, presentation, tech, high contrast, projection",generic,#ffffff,#161616,#e0e0e0,#161616,#0f62fe,#ffffff,#161616,#f4f4f4,#525252,#ffffff,#393939,#f4f4f4,#0f62fe,foreground;primary;secondary,muted;accent,accent
lib-fluent-dark-slide,"Fluent 2, dark slide","dark, slide deck, presentation, tech, enterprise, projection",generic,#ffffff,#242424,#f0f0f0,#242424,#0078d4,#ffffff,#0a0a0a,#f0f0f0,#333333,#f0f0f0,#3d3d3d,#f0f0f0,#0078d4,foreground;primary;secondary,muted;accent,accent
lib-cl-r6-orange,"CL-ranked #6, warm orange accent","warm, mid-tone, orange, ranked, popular, brochure, poster, deck, one-pager",generic,#031634,#ffffff,#036564,#ffffff,#cdb380,#031634,#ffffff,#031634,#033649,#ffffff,#CCCCCC,#031634,#cdb380,foreground;primary;secondary,muted;accent,
lib-cl-r14-red,"CL-ranked #14, warm red accent","warm, mid-tone, red, ranked, popular, brochure, poster, deck, one-pager",generic,#2e2633,#ffffff,#dce9be,#2e2633,#99173c,#ffffff,#efffcd,#2e2633,#555152,#ffffff,#CCCCCC,#2e2633,#99173c,foreground;primary;secondary;accent,muted,
lib-cl-r21-red,"CL-ranked #21, warm red accent","warm, mid-tone, red, ranked, popular, brochure, poster, deck, one-pager",generic,#351330,#ffffff,#64908a,#351330,#cc2a41,#ffffff,#ffffff,#351330,#424254,#ffffff,#CCCCCC,#351330,#cc2a41,foreground;primary;secondary;accent,muted,
lib-cl-r33-neutral,"CL-ranked #33, mid-tone neutral","cool, mid-tone, neutral, ranked, popular, brochure, poster, deck, one-pager",generic,#36393b,#ffffff,#696758,#ffffff,,,#ffffff,#36393b,#c5bc8e,#36393b,#CCCCCC,#36393b,,foreground;primary;secondary,muted,
lib-cl-r49-orange,"CL-ranked #49, warm orange accent","warm, mid-tone, orange, ranked, popular, brochure, poster, deck, one-pager",generic,#2a2c31,#ffffff,#5a2e2e,#ffffff,#dfba69,#2a2c31,#fffedf,#2a2c31,#3e4147,#ffffff,#CCCCCC,#2a2c31,#dfba69,foreground;primary;secondary,muted;accent,
lib-cl-r60-neutral,"CL-ranked #60, mid-tone neutral","warm, mid-tone, neutral, ranked, popular, brochure, poster, deck, one-pager",generic,#3a111c,#ffffff,#83988e,#3a111c,,,#ffffff,#3a111c,#574951,#ffffff,#CCCCCC,#3a111c,,foreground;primary;secondary,muted,
lib-cl-r65-neutral,"CL-ranked #65, mid-tone neutral","cool, mid-tone, neutral, ranked, popular, brochure, poster, deck, one-pager",generic,#1a1f1e,#ffffff,#93ccc6,#1a1f1e,,,#ffffff,#1a1f1e,#c8d6bf,#1a1f1e,#CCCCCC,#1a1f1e,,foreground;primary;secondary,muted,
lib-cl-r90-neutral,"CL-ranked #90, mid-tone neutral","warm, mid-tone, neutral, ranked, popular, brochure, poster, deck, one-pager",generic,#4f2958,#ffffff,#66b6ab,#4f2958,,,#ffffff,#4f2958,#a6f6af,#4f2958,#CCCCCC,#4f2958,,foreground;primary;secondary,muted,
lib-cl-r108-red,"CL-ranked #108, warm red accent","warm, light, red, ranked, popular, brochure, poster, deck, one-pager",generic,#312736,#ffffff,#d9d9d9,#312736,#d4838f,#312736,#ffffff,#312736,#d6abb1,#312736,#CCCCCC,#312736,#d4838f,foreground;primary;secondary,muted;accent,
lib-cl-r116-red,"CL-ranked #116, warm red accent","warm, mid-tone, red, ranked, popular, brochure, poster, deck, one-pager",generic,#292522,#ffffff,#a39081,#292522,#d6a692,#292522,#ffffff,#292522,#4d6160,#ffffff,#CCCCCC,#292522,#d6a692,foreground;primary;secondary,muted;accent,
lib-cl-r121-neutral,"CL-ranked #121, mid-tone neutral","warm, mid-tone, neutral, ranked, popular, brochure, poster, deck, one-pager",generic,#512b52,#ffffff,#7bb0a8,#512b52,,,#ffffff,#512b52,#635274,#ffffff,#CCCCCC,#512b52,,foreground;primary;secondary,muted,
