design_key,Display Name,Family,Rank,Reasoning Key,Keywords,Best For,Not For,Evidence Class,Brand Scope
cv-serif-plain-centered,"CV, serif centered",cv,1,cv-serif-plain-centered,"cv, résumé, serif, centered name, single column, restrained, ats-safe",Single-column résumés wanting a centred serif name heading with no colour-coded meaning -- the single most frequent admissible layout in the coded corpora,"DACH tabular CVs, Europass multilingual CVs, slide decks, marketing collateral",ranked,generic
cv-eu-europass,CV -- Europass-compatible,cv,2,cv-eu-europass,"cv, europass, eu, multilingual, cross-border, single column, language grid",EU cross-border or Europass-targeted CVs matching the official tool's section order and language-proficiency grid,"DACH tabular CVs, editorial CVs, ATS-strict US/UK CVs",authority,generic
cv-sans-accent-ruled,"CV, sans ruled header",cv,3,cv-sans-accent-ruled,"cv, resume, sans, one accent, ruled header, single column, ats-safe","Single-column CVs with a full-width rule directly under the header block (name, title, contacts) and one restrained accent colour","DACH tabular CVs, Europass multilingual CVs, marketing collateral",ranked,generic
cv-sans-mono-split,"CV, sans split header",cv,4,cv-sans-mono-split,"cv, resume, sans, split header, name left contact right, single column, ats-safe, photo permitted","Single-column CVs with the name flush left and a contact block flush right on the same header row, monochrome ink, photo permitted as a modest avatar","DACH tabular CVs, Europass multilingual CVs, marketing collateral",ranked,generic
cv-ats-strict,"CV, restrained",cv,5,cv-ats-strict,"cv, resume, ats-safe, restrained, single column, no colour blocks","ATS-scanned CVs, cover letters bound to ats-strict, any doctype needing a parseable single-column structure","slide decks, marketing collateral, colour-coded sections",ranked,generic
cv-serif-accent-plain-left,"CV, serif accent left-aligned",cv,6,cv-serif-accent-plain-left,"cv, resume, serif, one accent, plain left-aligned header, single column, ats-safe","Single-column CVs with a left-aligned serif name heading, no header rule, and one restrained accent colour","DACH tabular CVs, Europass multilingual CVs, marketing collateral",ranked,generic
cv-sans-accent-plain-centered,"CV, sans accent centered",cv,7,cv-sans-accent-plain-centered,"cv, resume, sans, one accent, centered name, single column, ats-safe",Single-column CVs with a centred sans name heading and one restrained accent colour,"DACH tabular CVs, multi-accent marketing collateral",ranked,generic
cv-serif-mono-split,"CV, serif split header",cv,8,cv-serif-mono-split,"cv, resume, serif, split header, name left contact right, single column, ats-safe","Single-column CVs with a serif name flush left and a contact block flush right on the same header row, monochrome ink","DACH tabular CVs, Europass multilingual CVs, marketing collateral",ranked,generic
cv-sans-accent-split,"CV, sans split header, accent",cv,9,cv-sans-accent-split,"cv, resume, sans, split header, one accent, name left contact right, single column, ats-safe, photo permitted","Single-column CVs with a sans name flush left and a contact block flush right on the same header row, one restrained accent colour, photo permitted as a modest avatar","DACH tabular CVs, Europass multilingual CVs, marketing collateral",ranked,generic
cv-us-uk-designed,CV -- Harvard reverse-chronological,cv,10,cv-us-uk-designed,"cv, résumé, harvard, us, uk, reverse-chronological, single column, restrained, serif-sans, ats-safe",US/UK résumés wanting Butterick/Harvard-OCS-grounded typographic hierarchy while staying ATS-safe and single column,"DACH tabular CVs, Europass multilingual CVs, slide decks, marketing collateral",authority,generic
cv-academic,"CV, academic plain",cv,11,cv-academic,"academic cv, publication list, long-form, restrained, no page limit","academic CVs, publication-heavy CVs, research profiles","single-page ATS-strict CVs, marketing documents",convention,generic
cv-dach-tabular,"CV, DACH tabellarisch",cv,12,cv-dach-tabular,"cv, lebenslauf, dach, germany, austria, switzerland, tabular, two-column, photo, formal",DACH-market Lebenslauf wanting the culturally expected tabular label/content layout with a formal headshot,"ATS-strict single-column CVs, Europass CVs, editorial CVs",convention,generic
