typeface_key,Display Name,Keywords,Best For,Brand Scope,Heading Family,Body Family,Mono Family,Category Contrast,Family Count,Safe Stack Fallback,Safe Stack Body Fallback,Safe Stack Availability,Embedding Licence,Has Tabular Figures,Scale Key
lib-roboto,Roboto,"roboto, grotesque, reports, ofl, embeddable, google-superfamily, ui, product, tech, neutral, modern","General reports, decks and UI-adjacent documents wanting Google's default neutral grotesque sans, single family, open-licensed",generic,Roboto,Roboto,,sans-sans,1,Arial,Arial,os-bundled,installable,yes,print-office-generic
lib-open-sans,Open Sans,"open sans, business, legible, ofl, embeddable, corporate, friendly, readable, humanist","General business documents and reports wanting a warm, highly legible humanist sans, single family, open-licensed",generic,Open Sans,Open Sans,,sans-sans,1,Arial,Arial,os-bundled,installable,unknown,print-office-generic
lib-inter,Inter,"inter, documentation, ofl, embeddable, ui, tech, screen-optimized, modern, product","Screen-first reports and technical documentation wanting a UI-optimized neutral sans designed for small sizes, single family",generic,Inter,Inter,,sans-sans,1,Arial,Arial,os-bundled,installable,yes,report-screen
lib-lato,Lato,"lato, proposals, ofl, embeddable, corporate, friendly, warm, humanist","Corporate reports and proposals wanting a warm, semi-rounded humanist sans, single family, open-licensed",generic,Lato,Lato,,sans-sans,1,Arial,Arial,os-bundled,installable,yes,print-office-generic
lib-montserrat,Montserrat,"montserrat, signage, ofl, embeddable, geometric, editorial, branding, modern, marketing","Decks and marketing-facing documents wanting a geometric, urban-signage-inspired display sans, single family",generic,Montserrat,Montserrat,,sans-sans,1,Arial,Arial,os-bundled,installable,yes,deck-projection
lib-poppins,Poppins,"poppins, social, rounded, ofl, embeddable, geometric, friendly, modern, marketing, deck","Decks and social-facing one-pagers wanting a rounded geometric sans with broad script support, single family",generic,Poppins,Poppins,,sans-sans,1,Arial,Arial,os-bundled,installable,unknown,deck-projection
lib-noto-sans,Noto Sans,"noto sans, multiscript, ofl, embeddable, multilingual, international, academic, neutral","Multilingual reports needing consistent Latin/Cyrillic/Greek glyph coverage in one neutral sans, single family",generic,Noto Sans,Noto Sans,,sans-sans,1,Arial,Arial,os-bundled,installable,unknown,report-print
lib-noto-serif-noto-sans,Noto Serif + Noto Sans,"noto serif, noto sans, superfamily-companion, ofl, embeddable, multilingual, academic, editorial, international",Multilingual academic reports and whitepapers wanting a matched serif/sans companion pair across many scripts,generic,Noto Serif,Noto Sans,,serif-sans,2,Georgia,Arial,os-bundled,installable,unknown,report-print
lib-roboto-serif-roboto,Roboto Serif + Roboto,"roboto serif, roboto, cover-page, ofl, embeddable, editorial, report, distinct-register, modern",Report cover pages and editorial sections wanting a distinct serif heading register paired with Roboto's neutral sans body,generic,Roboto Serif,Roboto,,serif-sans,2,Georgia,Arial,os-bundled,installable,unknown,report-print
lib-merriweather-merriweather-sans,Merriweather + Merriweather Sans,"merriweather, merriweather sans, long-form, ofl, embeddable, editorial, blog, readable, screen",Long-form reports and editorial whitepapers wanting Sorkin Type's publisher-documented serif/sans companion pair,generic,Merriweather,Merriweather Sans,,serif-sans,2,Georgia,Arial,os-bundled,installable,unknown,report-print
lib-nunito-nunito-sans,Nunito + Nunito Sans,"nunito, nunito sans, companion-family, ofl, embeddable, friendly, rounded, approachable, marketing",Friendly-toned proposals and one-pagers wanting Nunito's rounded heading with its non-rounded sans companion body,generic,Nunito,Nunito Sans,,sans-sans,2,Arial,Arial,os-bundled,installable,unknown,print-office-generic
lib-dm-serif-display-dm-sans,DM Serif Display + DM Sans,"dm serif display, dm sans, publisher-superfamily, ofl, embeddable, editorial, modern, tech, display",Editorial reports and decks wanting a high-contrast display serif heading built to the same suite as its sans body,generic,DM Serif Display,DM Sans,,serif-sans,2,Cambria,Arial,office-bundled,installable,unknown,deck-projection
lib-alegreya-alegreya-sans,Alegreya + Alegreya Sans,"alegreya, alegreya sans, superfamily, ofl, embeddable, academic, literary, editorial",Academic and literary reports wanting a calligraphic humanist serif heading paired with its own sans companion,generic,Alegreya,Alegreya Sans,,serif-sans,2,Times New Roman,Arial,os-bundled,installable,unknown,report-print
