doc_key,Display Name,Keywords,Artifact Class,Brand Scope,Reasoning Key,Page Format Key,Render Target Keys,Constraint Set Keys,Structure Key,Region Key,Default Language
cv-us,Resume -- US,"resume, résumé, cv, curriculum vitae, job application, ats, one page resume, american resume, us job market, hiring manager, write my resume, make me a resume, update my resume, rédige mon cv américain, cv américain, erstelle einen amerikanischen lebenslauf",flow,generic,cv-us-uk-designed,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,us,en
cv-uk,CV -- UK,"cv, curriculum vitae, british cv, uk job application, two page cv, ats, write my cv, make me a cv, update my cv, job application uk, rédige mon cv britannique, cv anglais, erstelle einen britischen lebenslauf",flow,generic,cv-us-uk-designed,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,uk,en
cv-eu-generic,"CV -- EU (continental, generic)","cv, curriculum vitae, european cv, continental cv, job application europe, rédige mon cv, fais-moi un cv, cv européen, candidature emploi, erstelle einen lebenslauf, europäischer lebenslauf, bewerbung",flow,generic,cv-eu-europass,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,eu-generic,en
cv-eu-europass,CV -- Europass,"europass, europass cv, eu standard cv, european commission cv template, cv europass, modèle europass, rédige un cv europass, europass lebenslauf, erstelle einen europass lebenslauf",flow,generic,cv-eu-europass,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,eu-europass,en
cv-dach,CV -- DACH (Lebenslauf),"lebenslauf, tabellarischer lebenslauf, bewerbung, german cv, austrian cv, swiss cv, erstelle einen lebenslauf, lebenslauf schreiben, bewerbungsunterlagen, cv allemand, cv suisse, rédige mon cv allemand",flow,generic,cv-ats-strict,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,dach,de
cv-france,CV -- France,"cv, cv français, curriculum vitae français, candidature france, rédige mon cv, fais-moi un cv, cv à la française, lettre de motivation et cv, französischer lebenslauf",flow,generic,cv-ats-strict,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,france,fr
cv-gulf-gcc,CV -- Gulf / GCC,"cv, gulf cv, uae cv, dubai job application, saudi cv, qatar cv, gcc job market, rédige mon cv golfe, cv émirats, lebenslauf golfstaaten",flow,generic,cv-ats-strict,a4-cv-single-col,pdf-chromium;docx-office,ats-strict;cv-region,cv-experienced,gulf-gcc,en
cv-generic,CV / Resume -- region unspecified,"cv, resume, curriculum vitae, job application, write my cv, make me a resume, fais-moi un cv, rédige mon cv, erstelle einen lebenslauf",flow,generic,cv-us-uk-designed,a4-cv-single-col,pdf-chromium;docx-office,ats-strict,cv-experienced,,en
cv-academic,CV -- academic / scientific (no page limit),"academic cv, scientific cv, faculty cv, publications list, research cv, grants, teaching experience, postdoc cv, tenure track cv, cv académique, cv de chercheur, publications, akademischer lebenslauf, wissenschaftlicher lebenslauf",flow,generic,cv-academic,a4-cv-single-col,pdf-chromium;docx-office,,cv-academic,,en
cover-letter,Cover letter,"cover letter, motivation letter, job application letter, write my cover letter, lettre de motivation, rédige ma lettre de motivation, fais-moi une lettre de motivation, anschreiben, bewerbungsschreiben, erstelle ein anschreiben",flow,generic,cover-letter-professional,a4-letter-standard,pdf-chromium;docx-office,ats-strict,cover-letter-standard,,en
