style_key,Display Name,Keywords,Best For,Not For,Brand Scope,Rule Hair pt,Rule Strong pt,Rule Brand pt,Corner Radius mm,Table Rules,Table Fills,Emphasis Mechanism,Field Style,Checklist
cv-restrained,"CV, restrained","cv, resume, ats-safe, restrained, single column, no colour blocks","ATS-scanned CVs, cover letters bound to ats-strict, any doctype needing a parseable single-column structure","slide decks, marketing collateral, colour-coded sections",generic,0.5,1,0,0,none,none,weight,none,"Keep single column only;Remove colour-coded sections;Emphasize by weight and size, not colour;Remove icon-only skill bars;Omit photo unless region requires it"
cv-academic-plain,"CV, academic plain","academic cv, publication list, long-form, restrained, no page limit","academic CVs, publication-heavy CVs, research profiles","single-page ATS-strict CVs, marketing documents",generic,0.5,1,0,0,none,none,weight,none,"Do not enforce a page limit;List publications chronologically or thematically;Keep single column;Emphasize by weight and size, not colour;Omit photo"
letter-restrained,"Letter, restrained","cover letter, professional, formal salutation, single column, restrained","professional cover letters bound to ats-strict, application letters","marketing letters, decorative correspondence",generic,0.5,1,0,0,none,none,weight,none,"Keep single column;Include a formal salutation block;Remove text boxes and icon bars;Omit photo;Emphasize by weight only"
letter-formal-grid,"Letter, formal grid","formal letter, letterhead, correspondence, single column","formal business correspondence, letterhead-based letters","forms, marketing, slide decks",generic,0.5,1,0,0,none,none,weight,none,"Anchor the letterhead block to a fixed top-of-page position;Keep single column;Remove gradients and emoji;Include a formal closing block"
memo-plain,"Memo, plain","memo, internal note, header block, single column, restrained","internal memos, note-style internal documents","external client-facing letters, marketing",generic,0.5,1,0,0,none,none,weight,none,"Include a to/from/date/subject header block;Keep single column;Remove gradients and emoji;Set one hairline rule under the header only"
form-grid-underline,"Form, grid underline","form, grid, underline fields, tabular, line-item, photocopy-safe, hairline","hand-filled forms, fiches, quotes/devis, invoices, any field- or line-item-based document","long-form prose reports, marketing, slide decks",generic,0.5,1,0,0,header-and-total,none,weight,underline,"Underline fields, do not box them;Set a header rule and a total rule only on tables, no zebra;Remove fills and colour-coded meaning;Remove rounded cards;Keep colour off any meaning-bearing element"
marketing-print-bold,"Marketing print, bold","brochure, poster, marketing print, bold hierarchy, fold-aware, high contrast","brochures, posters, professional print marketing collateral","CVs, forms, long-form reports",generic,0,1.5,2.5,0,none,none,fill,none,"Build hierarchy with filled colour blocks, not hairline rules;Leave generous white space around the CTA;Design the layout fold-aware for tri-fold or bi-fold;Remove gradient banding;Remove stock-photo-cliche imagery;Keep text above the print contrast floor"
infographic-bold,"Infographic, bold","infographic, data visual, stat callout, bold hierarchy, single canvas, social","Infographics and single-canvas data-visual graphics for social or web distribution","CVs, forms, long-form reports, folded print marketing collateral",generic,0,1.5,2.5,0,none,none,fill,none,"Build hierarchy with an oversized stat number and filled colour blocks, not hairline rules;Leave generous white space around each stat callout;Assign one colour per data category from the palette's category marker role, consistently;Remove gradient fills and 3-D chart effects;Keep text above the screen contrast floor"
report-classic-serif,"Classic report, serif","report, whitepaper, formal, scholarly, serif body","long-form reports, whitepapers, policy documents","slide decks, one-page flyers",generic,0.5,1,0,0,header-and-total,none,weight,none,"headings H1-H3 only;figure captions below;hairline rule under the running head;header-and-total rule on tables, no zebra;serif body throughout"
deck-bold-minimal,"Slide deck, bold minimal","slide deck, presentation, one idea per slide, high contrast, 6x6 heuristic","slide decks read in projection, on screen, or as a printed handout","long-form reports, dense tabular documents",generic,0,1,0,0,none,none,weight,none,"Keep one idea per slide;Apply the 6x6 heuristic, max 6 bullets of 6 words;Use a high-contrast text/background pair;Remove gradients;Remove dense paragraph slides;Remove spaghetti charts;Keep it legible when printed as a handout"
one-pager-tight,"One-pager, tight","one-pager, single page, high density, restrained, compact","single-page summaries, fact sheets bound to report-typography","long-form multi-page reports, slide decks",generic,0.5,1,0,0,hairline,none,weight,none,"Fit everything on one page;Prefer single column, remove multi-column grid;Keep high information density without visual clutter;Remove gradients and icon-only skill bars;Add a hairline rule only if a table is present"
ens-document-grid,ENS Document Grid,"ens, eng nei schaff, bettembourg, grid-based, hairline rules, single accent, no fills, white space, high contrast, sans-serif, print-friendly, hand-fillable, photocopy-safe","internal notes, forms, fiches, letters, tables","social posts, banners",ens,0.5,1,1.6,0,hairline,none,weight,underline,"one green rule under title;labels 8.5pt uppercase tracked;tables hairlines only, no fills or zebra;fields underline 6mm;section numbers black;footer address plus page x/y;no rounded boxes, badges, or icons unless functional;lime never as text"
ens-social-bold,ENS Social Bold,"ens, social, marketing, full-bleed, lime badge, bold headline, fse, cofinancé","social media posts, marketing banners, FSE-cofunded promotional material","internal notes, forms, long-form reports",ens,0,1.5,0,5,none,none,weight,none,"Use a full-bleed green or photo-plus-gradient background;Render the lime badge as a filled pill with dark text, never bare text;Place the photo in a rounded card, the only rounded element allowed;Emphasize with bold white text, not lime text;Fill fact tiles at white 12%, four maximum per layout;Include one CTA bar"
